"","liveness","danceability","energy","key","loudness","mode","ArtistName","speechiness","acousticness","instrumentalness","valence","tempo","duration_ms","DateIndex","time_signature","MaxPosition","Track.Name","minPosition","lCountOnCharts","TrackPopularity","CountOnCharts","lSumChartStreams","ldurationms"
"1",0.119,0.546,0.657,1,-4.787,1,"One Direction",0.0332,0.0928,0,0.357,133.188,196933,184,4,36,"Love You Goodbye",29,1.09861228866811,52,3,14.8450424713171,12.1906188483496
"2",0.0581,0.696,0.743,6,-3.838,1,"Jonas Blue",0.0331,0.0778,0,0.613,122.978,201254,565,4,165,"By Your Side",51,3.52636052461616,86,34,16.9869886068406,12.2123230708597
"4",0.708,0.567,0.455,6,-11.75,0,"Kendrick Lamar",0.496,0.738,0,0.351,127.002,496173,295,4,184,"untitled 07 | 2014 - 2016",43,2.484906649788,63,12,15.6479428905931,13.1146799352164
"5",0.0805,0.736,0.772,4,-5.52,0,"Tove Lo",0.0332,0.0996,0,0.0861,120.004,238427,33,4,189,"Talking Body",26,3.95124371858143,71,52,17.5399069999007,12.381818462794
"6",0.101,0.663,0.92,11,-4.07,0,"Ricky Martin",0.226,0.00431,1.69e-05,0.521,99.935,259196,555,4,140,"Vente Pa' Ca",51,4.21950770517611,89,68,17.8346942118386,12.4653398112424
"10",0.341,0.514,0.829,2,-8.987,1,"JosÈ Feliciano",0.0377,0.553,0,0.965,148.806,181812,224,4,192,"Feliz Navidad",35,2.70805020110221,63,15,15.6047727449103,12.1107284651478
"11",0.154,0.592,0.455,1,-7.698,1,"Drake",0.393,0.00322,3.72e-05,0.0568,146.316,202451,274,4,199,"Summer Sixteen",31,4.82028156560504,72,124,18.1196527157665,12.2182531609393
"12",0.321,0.74,0.781,7,-6.204,0,"Justin Bieber",0.07,0.0223,0,0.86,113.021,199227,183,4,188,"Been You",34,4.00733318523247,66,55,17.0657651589843,12.2022001571163
"14",0.207,0.55,0.689,3,-7.76,0,"Kygo",0.094,0.0498,0,0.419,99.904,224487,365,4,72,"Raging",44,3.8286413964891,73,46,17.3016575120014,12.321573078029
"15",0.0862,0.696,0.694,0,-6.631,1,"Ellie Goulding",0.0534,0.269,4.36e-06,0.728,154.941,213445,129,4,26,"On My Mind",26,0,16,1,13.8680052803481,12.2711344672221
"17",0.055,0.586,0.701,1,-5.326,0,"DJ Snake",0.0416,0.0203,0,0.226,104.957,220573,454,4,51,"Middle",51,0.693147180559945,79,2,14.5577364324935,12.3039839848385
"18",0.132,0.635,0.833,2,-3.387,0,"Avicii",0.0332,0.04,0.214,0.304,135.029,206067,121,4,56,"For A Better Day",24,3.63758615972639,17,38,17.2490025108003,12.2359566376102
"21",0.112,0.874,0.406,1,-10.025,1,"Drake",0.266,0.145,0.000242,0.811,127.978,195053,371,4,198,"With You",46,4.56434819146784,67,96,17.5867965467869,12.1810265954881
"22",0.126,0.508,0.687,0,-4.361,1,"J Balvin",0.326,0.551,3.41e-06,0.565,180.044,205600,561,4,164,"Safari",44,4.21950770517611,86,68,17.7586561519912,12.2336878125631
"23",0.0823,0.374,0.82,0,-4.055,1,"Alessia Cara",0.102,0.0751,0,0.367,122.841,199453,183,4,52,"Here",24,3.46573590279973,11,32,17.1417778706694,12.2033338985842
"24",0.114,0.661,0.893,7,-5.684,1,"Lady Gaga",0.149,0.0949,0,0.94,149.941,207720,526,4,48,"A-YO",48,0,48,1,13.8833775959384,12.2439462979583
"25",0.676,0.681,0.708,5,-6.019,0,"FRENSHIP",0.0304,0.042,0.14,0.359,92.993,237581,401,4,192,"Capsize",44,3.89182029811063,33,49,17.2467921701494,12.3782638969432
"27",0.108,0.643,0.499,2,-6.795,0,"Justin Bieber",0.0308,0.0478,0,0.364,133.978,275040,186,4,25,"No Sense",25,0,67,1,13.8887693839812,12.5246718206167
"29",0.0998,0.565,0.245,5,-9.132,1,"One Direction",0.0262,0.781,0,0.3,75.055,230320,183,4,196,"If I Could Fly",32,3.3322045101752,69,28,16.4291204008576,12.3472249252861
"30",0.302,0.673,0.847,10,-4.505,0,"OMI",0.0386,0.0253,0,0.545,121.988,206344,134,4,100,"Hula Hoop",20,3.89182029811063,67,49,17.4827987902,12.2372999579467
